ds,y
2020-06-28,1173
2020-06-29,754
2020-06-30,405
2020-07-01,176
2020-07-02,199
2020-07-03,163
2020-07-04,52
2020-07-05,95
2020-07-06,136
2020-07-07,233
2020-07-08,179
2020-07-09,277
2020-07-10,129
2020-07-11,29
2020-07-12,13
2020-07-13,217
2020-07-14,180
2020-07-15,250
2020-07-16,160
2020-07-17,483
2020-07-18,116
2020-07-19,29
2020-07-20,114
2020-07-21,105
2020-07-22,346
2020-07-23,397
2020-07-24,64
2020-07-25,21
2020-07-26,25
2020-07-27,247
2020-07-28,57
2020-07-29,5
2020-07-30,10
2020-07-31,36
2020-08-01,13
2020-08-02,33
2020-08-03,125
2020-08-04,103
2020-08-05,157
2020-08-06,4
2020-08-07,44
2020-08-08,71
2020-08-09,9
2020-08-10,82
2020-08-11,55
2020-08-12,6
2020-08-13,45
2020-08-14,9
2020-08-15,130
2020-08-16,116
2020-08-17,12
2020-08-18,11
2020-08-19,106
2020-08-20,17
2020-08-21,15
2020-08-22,24
2020-08-23,3
2020-08-24,124
2020-08-25,248
2020-08-26,209
2020-08-27,194
2020-08-28,277
2020-08-29,84
2020-08-30,138
2020-08-31,207
2020-09-01,473
2020-09-02,496
2020-09-03,141
2020-09-04,69
2020-09-05,16
2020-09-06,26
2020-09-07,335
2020-09-08,529
2020-09-09,204
2020-09-10,24
2020-09-11,129
2020-09-12,35
2020-09-13,12
2020-09-14,71
2020-09-15,1587
2020-09-16,447
2020-09-17,344
2020-09-18,163
2020-09-19,340
2020-09-20,187
2020-09-21,115
2020-09-22,78
2020-09-23,148
2020-09-24,88
2020-09-25,198
2020-09-26,213
2020-09-27,114
2020-09-28,154
2020-09-29,165
2020-09-30,22
2020-10-01,12
2020-10-02,12
2020-10-03,264
2020-10-04,294
2020-10-05,131
2020-10-06,867
2020-10-07,164
2020-10-08,191
2020-10-09,202
2020-10-10,564
2020-10-11,474
2020-10-12,242
2020-10-13,29
2020-10-14,98
2020-10-15,26
2020-10-16,23
2020-10-17,59
2020-10-18,47
2020-10-19,184
2020-10-20,201
2020-10-21,271
2020-10-22,329
2020-10-23,49
2020-10-24,80
2020-10-25,32
2020-10-26,135
2020-10-27,272
2020-10-28,274
2020-10-29,259
2020-10-30,129
2020-10-31,303
2020-11-01,253
2020-11-02,138
2020-11-03,164
2020-11-04,661
2020-11-05,593
2020-11-06,295
2020-11-07,972
2020-11-08,843
2020-11-09,869
2020-11-10,511
2020-11-11,354
2020-11-12,692
2020-11-13,482
2020-11-14,793
2020-11-15,635
2020-11-16,787
2020-11-17,455
2020-11-18,824
2020-11-19,614
2020-11-20,1119
2020-11-21,1007
2020-11-22,529
2020-11-23,992
2020-11-24,817
2020-11-25,316
2020-11-26,198
2020-11-27,1059
2020-11-28,694
2020-11-29,118
2020-11-30,305
2020-12-01,271
2020-12-02,390
2020-12-03,470
2020-12-04,361
2020-12-05,296
2020-12-06,301
2020-12-07,182
2020-12-08,811
2020-12-09,743
2020-12-10,187
2020-12-11,130
2020-12-12,24
2020-12-13,22
2020-12-14,266
2020-12-15,327
2020-12-16,352
2020-12-17,142
2020-12-18,215
2020-12-19,141
2020-12-20,153
2020-12-21,347
2020-12-22,391
2020-12-23,344
2020-12-24,447
2020-12-25,689
2020-12-26,477
2020-12-27,562
2020-12-28,723
2020-12-29,94
2020-12-30,259
2020-12-31,266
2021-01-01,205
2021-01-02,123
2021-01-03,84
2021-01-04,167
2021-01-05,196
2021-01-06,211
2021-01-07,72
2021-01-08,214
2021-01-09,98
2021-01-10,187
2021-01-11,442
2021-01-12,385
2021-01-13,633
2021-01-14,572
2021-01-15,888
2021-01-16,725
2021-01-17,840
2021-01-18,675
2021-01-19,645
2021-01-20,333
2021-01-21,229
2021-01-22,163
2021-01-23,215
2021-01-24,177
2021-01-25,216
2021-01-26,420
2021-01-27,236
2021-01-28,422
2021-01-29,403
2021-01-30,177
2021-01-31,314
2021-02-01,359
2021-02-02,219
2021-02-03,563
2021-02-04,805
2021-02-05,475
2021-02-06,421
2021-02-07,395
2021-02-08,239
2021-02-09,397
2021-02-10,298
2021-02-11,369
2021-02-12,256
2021-02-13,167
2021-02-14,449
2021-02-15,412
2021-02-16,237
2021-02-17,301
2021-02-18,380
2021-02-19,277
2021-02-20,176
2021-02-21,139
2021-02-22,100
2021-02-23,118
2021-02-24,399
2021-02-25,285
2021-02-26,142
2021-02-27,236
2021-02-28,153
2021-03-01,481
2021-03-02,411
2021-03-03,299
2021-03-04,478
2021-03-05,280
2021-03-06,420
2021-03-07,624
2021-03-08,355
2021-03-09,175
2021-03-10,451
2021-03-11,145
2021-03-12,290
2021-03-13,366
2021-03-14,552
2021-03-15,211
2021-03-16,326
2021-03-17,805
2021-03-18,399
2021-03-19,223
2021-03-20,281
2021-03-21,1409
2021-03-22,2389
2021-03-23,563
2021-03-24,543
2021-03-25,421
2021-03-26,502
2021-03-27,308
2021-03-28,671
2021-03-29,627
2021-03-30,507
2021-03-31,620
2021-04-01,673
2021-04-02,669
2021-04-03,531
2021-04-04,748
2021-04-05,798
2021-04-06,321
2021-04-07,329
2021-04-08,302
2021-04-09,692
2021-04-10,439
2021-04-11,334
2021-04-12,459
2021-04-13,353
2021-04-14,306
2021-04-15,316
2021-04-16,257
2021-04-17,467
2021-04-18,389
2021-04-19,268
2021-04-20,497
2021-04-21,218
2021-04-22,265
2021-04-23,1747
2021-04-24,346
2021-04-25,251
2021-04-26,406
2021-04-27,296
2021-04-28,244
2021-04-29,496
2021-04-30,395
2021-05-01,386
2021-05-02,187
2021-05-03,504
2021-05-04,595
2021-05-05,296
2021-05-06,374
2021-05-07,276
2021-05-08,413
2021-05-09,409
2021-05-10,337
2021-05-11,163
2021-05-12,220
2021-05-13,442
2021-05-14,247
2021-05-15,882
2021-05-16,578
2021-05-17,352
2021-05-18,662
2021-05-19,502
2021-05-20,550
2021-05-21,457
2021-05-22,408
2021-05-23,721
2021-05-24,378
2021-05-25,113
2021-05-26,0
2021-05-27,0
2021-05-28,0
2021-05-29,0
2021-05-30,0
2021-05-31,0
2021-06-01,0
2021-06-02,0
2021-06-03,0
2021-06-04,280
2021-06-05,455
2021-06-06,326
2021-06-07,292
2021-06-08,378
2021-06-09,287
2021-06-10,420
2021-06-11,522
2021-06-12,333
2021-06-13,250
2021-06-14,192
2021-06-15,577
2021-06-16,331
2021-06-17,751
2021-06-18,465
2021-06-19,460
2021-06-20,279
2021-06-21,246
2021-06-22,642
2021-06-23,502
2021-06-24,458
2021-06-25,388
2021-06-26,224
2021-06-27,311
2021-06-28,349
2021-06-29,307
2021-06-30,365
2021-07-01,590
2021-07-02,789
2021-07-03,236
2021-07-04,292
2021-07-05,425
2021-07-06,447
2021-07-07,300
2021-07-08,288
2021-07-09,352
2021-07-10,377
2021-07-11,398
2021-07-12,390
2021-07-13,288
2021-07-14,283
2021-07-15,292
2021-07-16,215
2021-07-17,350
2021-07-18,284
2021-07-19,270
2021-07-20,571
2021-07-21,202
2021-07-22,401
2021-07-23,466
2021-07-24,303
2021-07-25,307
2021-07-26,759
2021-07-27,736
2021-07-28,537
2021-07-29,404
2021-07-30,339
2021-07-31,279
2021-08-01,237
2021-08-02,313
2021-08-03,247
2021-08-04,350
2021-08-05,364
2021-08-06,426
2021-08-07,343
2021-08-08,443
2021-08-09,334
2021-08-10,293
2021-08-11,394
2021-08-12,383
2021-08-13,265
2021-08-14,357
2021-08-15,576
2021-08-16,479
2021-08-17,484
2021-08-18,411
2021-08-19,470
2021-08-20,364
2021-08-21,433
2021-08-22,535
2021-08-23,441
2021-08-24,331
2021-08-25,574
2021-08-26,491
2021-08-27,298
2021-08-28,275
2021-08-29,320
2021-08-30,364
2021-08-31,328
2021-09-01,295
2021-09-02,283
2021-09-03,19
2021-09-04,150
2021-09-05,301
2021-09-06,295
2021-09-07,432
2021-09-08,382
2021-09-09,392
2021-09-10,228
2021-09-11,281
2021-09-12,238
2021-09-13,325
2021-09-14,296
2021-09-15,334
2021-09-16,224
2021-09-17,300
2021-09-18,322
2021-09-19,267
2021-09-20,312
2021-09-21,383
2021-09-22,244
2021-09-23,338
2021-09-24,275
2021-09-25,452
2021-09-26,388
2021-09-27,388
2021-09-28,395
2021-09-29,478
2021-09-30,335
2021-10-01,417
2021-10-02,592
2021-10-03,426
2021-10-04,565
2021-10-05,642
2021-10-06,875
2021-10-07,477
2021-10-08,445
2021-10-09,375
2021-10-10,552
2021-10-11,681
2021-10-12,615
2021-10-13,438
2021-10-14,594
2021-10-15,518
2021-10-16,637
2021-10-17,501
2021-10-18,444
2021-10-19,945
2021-10-20,629
2021-10-21,655
2021-10-22,595
2021-10-23,525
2021-10-24,657
2021-10-25,486
2021-10-26,623
2021-10-27,520
2021-10-28,440
2021-10-29,591
2021-10-30,447
2021-10-31,561
2021-11-01,490
2021-11-02,512
2021-11-03,669
2021-11-04,851
2021-11-05,664
2021-11-06,448
2021-11-07,426
2021-11-08,907
2021-11-09,505
2021-11-10,551
2021-11-11,679
2021-11-12,429
2021-11-13,472
2021-11-14,553
2021-11-15,731
2021-11-16,494
2021-11-17,444
2021-11-18,534
2021-11-19,452
2021-11-20,458
2021-11-21,489
2021-11-22,575
2021-11-23,566
2021-11-24,516
2021-11-25,503
2021-11-26,382
2021-11-27,553
2021-11-28,449
2021-11-29,525
2021-11-30,562
2021-12-01,559
2021-12-02,435
2021-12-03,538
2021-12-04,506
2021-12-05,419
2021-12-06,415
2021-12-07,529
2021-12-08,483
2021-12-09,454
2021-12-10,388
2021-12-11,0
2021-12-12,253
2021-12-13,385
2021-12-14,489
2021-12-15,537
2021-12-16,19
2021-12-17,155
2021-12-18,497
2021-12-19,614
2021-12-20,523
2021-12-21,570
2021-12-22,501
2021-12-23,557
2021-12-24,496
2021-12-25,644
2021-12-26,710
2021-12-27,487
2021-12-28,499
2021-12-29,471
2021-12-30,604
2021-12-31,474
2022-01-01,434
2022-01-02,551
2022-01-03,578
2022-01-04,597
2022-01-05,639
2022-01-06,822
2022-01-07,529
2022-01-08,626
2022-01-09,792
2022-01-10,695
2022-01-11,565
2022-01-12,722
2022-01-13,875
2022-01-14,603
2022-01-15,477
2022-01-16,577
2022-01-17,668
2022-01-18,9
2022-01-19,13
2022-01-20,643
2022-01-21,525
2022-01-22,411
2022-01-23,489
2022-01-24,515
2022-01-25,808
2022-01-26,831
2022-01-27,687
2022-01-28,459
2022-01-29,460
2022-01-30,560
2022-01-31,410
2022-02-01,439
2022-02-02,363
2022-02-03,336
2022-02-04,434
2022-02-05,461
2022-02-06,352
2022-02-07,464
2022-02-08,746
2022-02-09,811
2022-02-10,934
2022-02-11,601
2022-02-12,407
2022-02-13,459
2022-02-14,494
2022-02-15,409
2022-02-16,589
2022-02-17,550
2022-02-18,742
2022-02-19,506
2022-02-20,1029
2022-02-21,517
2022-02-22,316
2022-02-23,8
2022-02-24,0
2022-02-25,0
2022-02-26,0
2022-02-27,0
2022-02-28,0
2022-03-01,0
2022-03-02,0
2022-03-03,0
2022-03-04,0
2022-03-05,0
2022-03-06,0
2022-03-07,0
2022-03-08,0
2022-03-09,0
2022-03-10,0
2022-03-11,0
2022-03-12,0
2022-03-13,0
2022-03-14,0
2022-03-15,0
2022-03-16,0
2022-03-17,0
2022-03-18,0
2022-03-19,0
2022-03-20,4
2022-03-21,0
2022-03-22,18
2022-03-23,41
2022-03-24,122
2022-03-25,14
2022-03-26,67
2022-03-27,0
2022-03-28,22
2022-03-29,35
2022-03-30,33
2022-03-31,6
2022-04-01,21
2022-04-02,21
2022-04-03,3
2022-04-04,78
2022-04-05,1
2022-04-06,3
2022-04-07,1
2022-04-08,1
2022-04-09,10
2022-04-10,1
2022-04-11,136
2022-04-12,15
2022-04-13,78
2022-04-14,0
2022-04-15,42
2022-04-16,10
2022-04-17,17
2022-04-18,37
2022-04-19,85
2022-04-20,27
2022-04-21,28
2022-04-22,22
2022-04-23,280
2022-04-24,1360
2022-04-25,1123
2022-04-26,1081
2022-04-27,947
2022-04-28,877
2022-04-29,1031
2022-04-30,805
2022-05-01,953
2022-05-02,1872
2022-05-03,870
2022-05-04,1216
2022-05-05,1288
2022-05-06,2797
2022-05-07,6174
2022-05-08,4013
2022-05-09,1188
2022-05-10,1596
2022-05-11,1259
2022-05-12,958
2022-05-13,1749
2022-05-14,900
2022-05-15,1033
2022-05-16,1043
2022-05-17,2120
2022-05-18,1453
2022-05-19,2089
2022-05-20,1355
2022-05-21,960
2022-05-22,1033
2022-05-23,1285
2022-05-24,1119
2022-05-25,893
2022-05-26,1208
2022-05-27,832
2022-05-28,1010
2022-05-29,954
2022-05-30,1469
2022-05-31,1153
2022-06-01,1018
2022-06-02,1023
2022-06-03,633
2022-06-04,824
2022-06-05,1678
2022-06-06,1587
2022-06-07,1498
2022-06-08,1327
2022-06-09,1233
2022-06-10,1148
2022-06-11,1312
2022-06-12,1512
2022-06-13,1321
2022-06-14,1011
2022-06-15,1039
2022-06-16,1203
2022-06-17,1015
2022-06-18,837
2022-06-19,843
2022-06-20,879
2022-06-21,849
2022-06-22,1295
2022-06-23,1119
2022-06-24,726
2022-06-25,730
2022-06-26,734
2022-06-27,948
2022-06-28,16729
2022-06-29,3561
2022-06-30,955
2022-07-01,1040
2022-07-02,1027
2022-07-03,1665
2022-07-04,6918
2022-07-05,6055
2022-07-06,6167
2022-07-07,7445
2022-07-08,2948
2022-07-09,2568
2022-07-10,1180
2022-07-11,2824
2022-07-12,1633
2022-07-13,2020
2022-07-14,1775
2022-07-15,2136
2022-07-16,1052
2022-07-17,2056
2022-07-18,2319
2022-07-19,3291
2022-07-20,2847
2022-07-21,2269
2022-07-22,1649
2022-07-23,1775
2022-07-24,4037
2022-07-25,3112
2022-07-26,3146
2022-07-27,3838
2022-07-28,3550
2022-07-29,2567
2022-07-30,3008
2022-07-31,2004
2022-08-01,3227
2022-08-02,3140
2022-08-03,2874
2022-08-04,2133
2022-08-05,1947
2022-08-06,1666
2022-08-07,2142
2022-08-08,1453
2022-08-09,2151
2022-08-10,2345
2022-08-11,2030
2022-08-12,2370
2022-08-13,2170
2022-08-14,1584
2022-08-15,2269
2022-08-16,2177
2022-08-17,2718
2022-08-18,2651
2022-08-19,2654
2022-08-20,2877
2022-08-21,3079
2022-08-22,2423
2022-08-23,2851
2022-08-24,2741
2022-08-25,3008
2022-08-26,2880
2022-08-27,2223
2022-08-28,2142
2022-08-29,2567
2022-08-30,2539
2022-08-31,2240
2022-09-01,1980
2022-09-02,1626
2022-09-03,1684
2022-09-04,1760
2022-09-05,3876
2022-09-06,11738
2022-09-07,69421
2022-09-08,24408
2022-09-09,2399
2022-09-10,2350
2022-09-11,2409
2022-09-12,3149
2022-09-13,3118
2022-09-14,2901
2022-09-15,3545
2022-09-16,2673
2022-09-17,2055
2022-09-18,1994
2022-09-19,2226
2022-09-20,2691
2022-09-21,2089
2022-09-22,1598
2022-09-23,1762
2022-09-24,1950
2022-09-25,2116
2022-09-26,2982
2022-09-27,2423
2022-09-28,2764
2022-09-29,2116
2022-09-30,1994
2022-10-01,2133
2022-10-02,1945
2022-10-03,2394
2022-10-04,2547
2022-10-05,2466
2022-10-06,2320
2022-10-07,2729
2022-10-08,2509
2022-10-09,5639
2022-10-10,3293
2022-10-11,2835
2022-10-12,2707
2022-10-13,2645
2022-10-14,2937
2022-10-15,2630
2022-10-16,2919
2022-10-17,2856
2022-10-18,2625
2022-10-19,2953
2022-10-20,3380
2022-10-21,3957
2022-10-22,2534
2022-10-23,3506
2022-10-24,4057
2022-10-25,4084
2022-10-26,3780
2022-10-27,3668
2022-10-28,3410
2022-10-29,3151
2022-10-30,4066
2022-10-31,5447
2022-11-01,4683
2022-11-02,4373
2022-11-03,4488
2022-11-04,3982
2022-11-05,4224
2022-11-06,4135
2022-11-07,4551
2022-11-08,3811
2022-11-09,3865
2022-11-10,3843
2022-11-11,4067
2022-11-12,3836
2022-11-13,4420
2022-11-14,4144
2022-11-15,3985
2022-11-16,5261
2022-11-17,4842
2022-11-18,3817
2022-11-19,3600
2022-11-20,3615
2022-11-21,1343
2022-11-22,1821
2022-11-23,2819
2022-11-24,2563
2022-11-25,3449
2022-11-26,2930
2022-11-27,2953
2022-11-28,3295
2022-11-29,3449
2022-11-30,3770
2022-12-01,2698
2022-12-02,2380
2022-12-03,2543
2022-12-04,2721
2022-12-05,3133
2022-12-06,3788
2022-12-07,3752
2022-12-08,3068
2022-12-09,3527
2022-12-10,2669
2022-12-11,2525
2022-12-12,3265
2022-12-13,3701
